crew_id	role	movie_id
nm1164693	soundtrack,actor,composer	tt1034032
nm1164693	soundtrack,actor,composer	tt0175142
nm1166859	miscellaneous,actor	tt0389790
nm1166859	miscellaneous,actor	tt0892769
nm1166859	miscellaneous,actor	tt0892782
nm1166859	miscellaneous,actor	tt0441773
nm1167664	camera_department,actor	tt0327554
nm1167664	camera_department,actor	tt0160016
nm1167664	camera_department,actor	tt0257106
nm1167664	camera_department,actor	tt0231448
nm1168411	animation_department,art_department,director	tt0117705
nm1168411	animation_department,art_department,director	tt0462538
nm1168411	animation_department,art_department,director	tt0158983
nm1168411	animation_department,art_department,director	tt2861424
nm1170663	transportation_department	tt0116483
nm1170663	transportation_department	tt0306047
nm1170663	transportation_department	tt0375210
nm1170663	transportation_department	tt0389957
nm1171196	actor,soundtrack	tt1135985
nm1171196	actor,soundtrack	tt2103254
nm1171196	actor,soundtrack	tt1723121
nm1171196	actor,soundtrack	tt1333125
nm1171892	music_department,composer,soundtrack	tt2785032
nm1171892	music_department,composer,soundtrack	tt7242142
nm1171892	music_department,composer,soundtrack	tt4116284
nm1171892	music_department,composer,soundtrack	tt1402488
nm1174303	production_manager,miscellaneous,animation_department	tt0318233
nm1174303	production_manager,miscellaneous,animation_department	tt21000948
nm1174303	production_manager,miscellaneous,animation_department	tt0462538
nm1174303	production_manager,miscellaneous,animation_department	tt7658402
nm1174992	actress,make_up_department,soundtrack	tt0306047
nm1174992	actress,make_up_department,soundtrack	tt0213327
nm1174992	actress,make_up_department,soundtrack	tt6856484
nm1174992	actress,make_up_department,soundtrack	tt6977338
nm1175414	make_up_department,miscellaneous	tt0758763
nm1175414	make_up_department,miscellaneous	tt0306047
nm1175414	make_up_department,miscellaneous	tt0369226
nm1175414	make_up_department,miscellaneous	tt0248644
nm1176689	assistant_director,miscellaneous,location_management	tt0213985
nm1176689	assistant_director,miscellaneous,location_management	tt0362120
nm1176689	assistant_director,miscellaneous,location_management	tt0386060
nm1176689	assistant_director,miscellaneous,location_management	tt0306047
nm1184082	miscellaneous,assistant_director	tt0243736
nm1184082	miscellaneous,assistant_director	tt0306047
nm1184082	miscellaneous,assistant_director	tt0408345
nm1184082	miscellaneous,assistant_director	tt0457297
nm1186193	visual_effects,animation_department,assistant_director	tt0462538
nm1186193	visual_effects,animation_department,assistant_director	tt0780521
nm1186193	visual_effects,animation_department,assistant_director	tt1772341
