id	name	birthDate	deathDate	role	movies
nm2326037	Brian Hopkins	\N	\N	editorial_department,actor,editor	tt0389790,tt0892791,tt1860353,tt2091256
nm2326363	Allison Francis	\N	\N	miscellaneous,production_manager	tt1489946,tt1067106,tt0462538,tt1667889
nm2326580	Jeremy Sosenko	\N	\N	writer,producer,actor	tt1333125,tt8235236,tt2096672,tt14589904
nm2330266	Tara Colledge	\N	\N	make_up_department,miscellaneous	tt1535108,tt1355630,tt0460780,tt0362120
nm2331030	Steve Dale	\N	\N	miscellaneous	tt0810928,tt0370194,tt0257106,tt1060277
nm2331917	Manny DeGuzman	\N	\N	animation_department,visual_effects,assistant_director	tt0120913,tt1878870,tt0462538,tt0118617
nm2332096	Brooke Lundy	1976	\N	soundtrack,composer	tt1232838,tt0220178,tt1333125
nm2332767	Kathleen Marie-Frainier Fredrickson	\N	\N	miscellaneous	tt0389790,tt0481499,tt0120917,tt0120910
nm2341082	Lindsay Oikawa	\N	\N	miscellaneous,cinematographer	tt11323604,tt0389790,tt11323484,tt0481499
nm2342875	Melena Rounis	\N	\N	actress,miscellaneous	tt0790604,tt1226229,tt0306047,tt0450345
nm2350083	Jessi Stumpfel	\N	\N	visual_effects	tt0413267,tt0479952,tt0389790,tt1001526
nm2351303	Marco Carpagnano	\N	\N	visual_effects,animation_department	tt0355295,tt0443649,tt0381061,tt1490017
nm2352683	Family Force 5	\N	\N	soundtrack,actor	tt4828302,tt5884512,tt4009460,tt9243946
nm2354734	Alexander E. Hoffman	\N	\N	miscellaneous,art_department,camera_department	tt1628841,tt9243946,tt4046784,tt3829920
nm2355261	Zeba Fahid	\N	\N	miscellaneous	tt0129167,tt0375568,tt4116284,tt3014284
nm2359631	Alex Gianopoulos	\N	\N	location_management,writer,producer	tt9243946,tt16288736,tt3215824,tt2910814
nm2367941	Michael Brainerd	\N	\N	visual_effects	tt0389790,tt0892782,tt1911658,tt1067106
nm2369602	Alexis Jallad	\N	\N	miscellaneous,production_manager	tt0848537,tt4116284,tt3014284,tt5117670
nm2370609	Bradley Cooper	\N	\N	miscellaneous	tt1626038,tt0419724,tt0462538,tt1722512
nm2370831	Charles McCaskill	\N	\N	miscellaneous	tt0419724,tt0462538,tt1722512,tt1626038
nm2370849	Oscar Pangestu	\N	\N	animation_department,assistant_director,producer	tt4042474,tt0462538,tt0096697,tt6157320
nm2372781	Mike Medaris	1978	\N	miscellaneous	tt0942896,tt0118375,tt0810895,tt0462538
nm2376956	Jonathan Tappin	\N	\N	editorial_department,editor,director	tt3513498,tt1219342,tt4116284,tt1490017
nm2378613	Elaine DeMari	\N	\N	miscellaneous	tt0419724,tt1722512,tt0462538,tt1626038
nm2381936	Anna Wong	\N	\N	miscellaneous	tt0381707,tt0199356,tt0175142,tt0213327
nm2382314	Johan Rimér	\N	\N	visual_effects,producer	tt1333125,tt0860562,tt0860561
nm2382955	Max Liani	\N	\N	visual_effects,animation_department,camera_department	tt1490017,tt0463854,tt1219342,tt0448011
nm2396134	Darius Jones	\N	\N	actor,music_department,soundtrack	tt0976088,tt0362120,tt1175500,tt1830617
nm2397445	Ralph Sosa	\N	\N	animation_department,art_department,assistant_director	tt1636691,tt0096697,tt1139628,tt0462538
nm2397728	Aaron Bentley	\N	\N	special_effects	tt2081194,tt0118631,tt0900357,tt0257106
nm2399811	Nora Johnson	\N	\N	art_department,animation_department,writer	tt0413267,tt4116284,tt2224026,tt0441773
nm2401814	Vicki M. McWilliams	\N	\N	art_department,production_manager,miscellaneous	tt2404435,tt9243946,tt1549920,tt4046784
nm2403468	Chance Raspberry	\N	\N	animation_department,miscellaneous	tt6157320,tt0419724,tt0462538,tt0096697
nm2406465	Mike Orr	\N	\N	camera_department,miscellaneous,actor	tt1739249,tt1786477,tt1333125,tt2786956
nm2406994	Nick Huizing	\N	\N	camera_department	tt8179388,tt4225622,tt1333125,tt1079360
nm2411888	Austin Cope	\N	\N	actor	tt0877361,tt1333125
nm2415313	Rocky Russo	\N	\N	writer,actor,producer	tt2096672,tt2463288,tt8235236,tt1333125
nm2416438	Larry Miravalles	\N	\N	animation_department	tt0462538,tt0134067,tt0149460,tt0147752
nm2420912	Pierre Salazar	\N	\N	visual_effects,animation_department,art_department	tt0978764,tt1490017,tt0448011,tt1219342
nm2423395	Jinwoo Lee	\N	\N	visual_effects,camera_department,animation_department	tt0479952,tt0389790,tt0413267,tt0499549
nm2423397	Elizabeth Ito	1979	\N	director,writer,art_department	tt1305826,tt0375568,tt0389790,tt10380896
nm2424640	Matthew Rumford	\N	\N	miscellaneous	tt0389790,tt0326965
nm2426920	Yi Ma	\N	\N	visual_effects,miscellaneous	tt1490017,tt1402488,tt0370032,tt1192628
nm2427110	Dale Wolfe	\N	\N	actor,director,producer	tt0362120,tt5894410,tt0808510,tt0409459
nm2433241	Mike Milia	\N	\N	camera_department,miscellaneous,cinematographer	tt6095472,tt0830558,tt1185836,tt1333125
nm2436113	Kim Carlton	\N	\N	actor,stunts	tt1314177,tt0362120
nm2436125	Thelma Quinn	\N	\N	art_department	tt0429493,tt0362120,tt1126590,tt0417217
nm2436129	Harvey Gibbons	\N	\N	art_department	tt1318514,tt0768212,tt0362120
nm2436484	Luis Montenegro	\N	\N	miscellaneous,transportation_department	tt1403177,tt2357129,tt5592248,tt1333125
nm2437682	Gene Schutt	\N	\N	camera_department	tt1333125,tt0248654,tt1133993,tt0319969
nm2438259	Linda Chiz	\N	\N	art_department	tt0401420,tt0929629,tt0362120,tt0942903
nm2440644	Philip Linfield	\N	\N	art_department,animation_department	tt1126590,tt1792131,tt0362120,tt0469156
nm2446516	Richard Smitheman	\N	\N	animation_department,art_department,art_director	tt0461770,tt0138749,tt0462538,tt0120794
nm2450865	Robert Southall	\N	\N	art_department	tt0239949,tt0257106,tt0265625,tt0418689
nm2452114	Tim Gibson	\N	\N	animation_department,visual_effects	tt1490017,tt1219342,tt1351685,tt0366548
nm2455747	Will Graham	\N	\N	director,producer,writer	tt1717500,tt1333125,tt13654564,tt8226360
